1	10
2	10
3	10
4	10
5	10
6	10
7	10
8	8
9	8
10	8
11	8
12	13
13	8
14	8
15	8
16	8
17	13
18	13
19	13
20	13
21	13
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	5
31	5
32	5
33	5
34	5
35	5
36	5
37	5
38	5
39	5
40	5
41	5
42	5
43	5
44	5
45	5
46	5
47	5
48	5
49	5
50	5
51	5
52	5
53	5
54	6
55	6
56	6
57	6
58	6
59	5
60	5
61	5
62	5
63	5
64	5
65	5
66	6
67	6
68	6
69	6
70	6
71	6
72	1
73	1
74	1
75	1
76	5
77	5
78	5
79	5
80	5
81	5
82	5
83	5
84	8
85	8
86	8
87	8
88	8
89	8
90	8
91	8
92	8
93	8
94	8
95	8
96	8
97	13
98	8
99	13
100	13
101	8
102	8
103	8
104	13
105	8
106	13
107	8
108	8
109	13
110	13
111	8
112	8
113	8
114	8
115	8
116	8
117	13
118	8
119	8
120	8
121	8
122	13
123	13
124	8
125	13
126	13
127	8
128	13
129	13
130	7
131	2
132	2
133	2
134	7
135	7
136	2
137	2
138	2
139	2
140	2
141	2
142	2
143	7
144	2
145	7
146	7
147	2
148	7
149	7
150	7
151	7
152	7
153	7
154	7
155	2
156	2
157	2
158	2
159	2
160	2
161	2
162	7
163	7
164	7
165	7
166	2
167	9
168	9
169	9
170	9
171	9
172	7
173	7
174	9
175	9
176	9
177	9
178	9
179	9
180	9
181	7
182	7
183	7
184	11
185	11
186	11
187	11
188	11
189	11
190	11
191	11
192	11
193	11
194	11
195	11
196	11
197	11
198	11
199	11
200	11
201	11
202	11
203	11
204	11
205	11
206	11
207	11
208	11
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	3
228	3
229	3
230	3
231	3
232	3
233	3
234	3
235	3
236	3
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	11
250	11
251	11
252	11
253	11
254	11
255	11
256	11
257	11
258	11
259	11
260	11
261	11
262	3
263	3
264	3
265	3
266	3
267	3
268	3
269	3
270	3
271	3
272	3
273	3
274	3
275	3
276	3
277	3
278	3
279	3
280	3
281	3
282	3
283	3
284	3
285	3
286	3
287	3
288	3
289	3
290	3
291	3
292	3
293	3
294	3
295	3
296	3
297	3
298	3
299	3
300	3
301	3
302	3
303	11
304	11
305	11
